timestamp,total_mb,used_mb,free_mb,available_mb,buff_cache_mb,used_pct
2026-01-27_14:48:09.552,515635,26440,221144,483997,268050,5.12
2026-01-27_14:48:10.603,515635,26460,221123,483976,268050,5.13
2026-01-27_14:48:11.654,515635,26439,221144,483997,268050,5.12
2026-01-27_14:48:12.703,515635,26419,221164,484017,268050,5.12
2026-01-27_14:48:13.753,515635,26404,221187,484040,268043,5.12
2026-01-27_14:48:14.797,515635,26392,221192,484045,268050,5.11
2026-01-27_14:48:15.844,515635,26397,221186,484039,268050,5.11
2026-01-27_14:48:16.895,515635,26407,221176,484029,268050,5.12
2026-01-27_14:48:17.945,515635,26416,221167,484020,268050,5.12
2026-01-27_14:48:18.993,515635,26432,221151,484004,268050,5.12
2026-01-27_14:48:20.043,515635,26438,221164,484017,268032,5.12
2026-01-27_14:48:21.094,515635,26398,221192,484045,268045,5.11
2026-01-27_14:48:22.144,515635,26408,221175,484028,268050,5.12
2026-01-27_14:48:23.193,515635,26407,221177,484030,268050,5.12
2026-01-27_14:48:24.240,515635,26397,221186,484039,268050,5.11
2026-01-27_14:48:25.289,515635,26367,221217,484070,268050,5.11
2026-01-27_14:48:26.338,515635,26368,221215,484068,268050,5.11
2026-01-27_14:48:27.390,515635,26388,221217,484070,268029,5.11
2026-01-27_14:48:28.440,515635,26395,221191,484044,268049,5.11
2026-01-27_14:48:29.489,515635,26401,221182,484035,268050,5.12
2026-01-27_14:48:30.540,515635,26452,221131,483984,268050,5.12
2026-01-27_14:48:31.589,515635,26431,221152,484005,268050,5.12
2026-01-27_14:48:32.642,515635,26427,221157,484010,268050,5.12
2026-01-27_14:48:33.690,515635,26424,221159,484012,268050,5.12
2026-01-27_14:48:34.737,515635,26456,221144,483997,268033,5.13
2026-01-27_14:48:35.781,515635,26465,221119,483972,268050,5.13
2026-01-27_14:48:36.832,515635,26467,221116,483969,268050,5.13
2026-01-27_14:48:37.883,515635,26470,221113,483966,268050,5.13
2026-01-27_14:48:38.931,515635,26474,221110,483963,268050,5.13
2026-01-27_14:48:39.979,515635,26463,221121,483974,268050,5.13
2026-01-27_14:48:41.027,515635,26469,221115,483968,268050,5.13
2026-01-27_14:48:42.076,515635,26436,221165,484018,268033,5.12
2026-01-27_14:48:43.126,515635,26480,221104,483957,268050,5.13
2026-01-27_14:48:44.177,515635,26474,221109,483962,268050,5.13
2026-01-27_14:48:45.229,515635,26468,221115,483968,268050,5.13
2026-01-27_14:48:46.279,515635,26450,221133,483986,268050,5.12
2026-01-27_14:48:47.332,515635,26465,221119,483972,268050,5.13
2026-01-27_14:48:48.381,515635,26462,221121,483974,268050,5.13
2026-01-27_14:48:49.431,515635,26057,221573,484426,268004,5.05
2026-01-27_14:48:50.479,515635,25098,222544,485397,267992,4.86
2026-01-27_14:48:51.531,515635,25096,222556,485409,267982,4.86
2026-01-27_14:48:52.578,515635,25217,222425,485278,267992,4.89
2026-01-27_14:48:53.626,515635,25475,222167,485021,267992,4.94
2026-01-27_14:48:54.678,515635,25886,221746,484599,268002,5.02
2026-01-27_14:48:55.725,515635,26074,221548,484401,268012,5.05
2026-01-27_14:48:56.771,515635,26415,221201,484054,268018,5.12
2026-01-27_14:48:57.823,515635,26482,221120,483973,268032,5.13
2026-01-27_14:48:58.873,515635,26494,221089,483942,268051,5.13
2026-01-27_14:48:59.922,515635,26497,221069,483922,268068,5.13
2026-01-27_14:49:00.970,515635,26504,221062,483915,268068,5.14
2026-01-27_14:49:02.022,515635,26489,221077,483930,268068,5.13
2026-01-27_14:49:03.074,515635,26459,221107,483960,268068,5.13
2026-01-27_14:49:04.126,515635,26475,221091,483944,268068,5.13
