timestamp,gpu_index,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz
2026-01-27_14:46:36.730,1, 0, 0, 88, 95830, 87.34, 46, 1500, 2619
2026-01-27_14:46:37.798,0, 64, 0, 2504, 95830, 97.17, 54, 1500, 2619
2026-01-27_14:46:37.798,1, 0, 0, 88, 95830, 87.47, 46, 1500, 2619
2026-01-27_14:46:38.867,0, 90, 0, 2504, 95830, 103.68, 55, 1500, 2619
2026-01-27_14:46:38.867,1, 0, 0, 88, 95830, 87.41, 45, 1500, 2619
2026-01-27_14:46:39.934,0, 93, 0, 2504, 95830, 107.42, 55, 1500, 2619
2026-01-27_14:46:39.934,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:46:41.001,0, 91, 0, 2504, 95830, 107.22, 55, 1500, 2619
2026-01-27_14:46:41.001,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:46:42.066,0, 93, 0, 2504, 95830, 106.61, 55, 1500, 2619
2026-01-27_14:46:42.066,1, 0, 0, 88, 95830, 87.43, 46, 1500, 2619
2026-01-27_14:46:43.133,0, 93, 0, 2504, 95830, 106.52, 55, 1500, 2619
2026-01-27_14:46:43.133,1, 0, 0, 88, 95830, 87.39, 45, 1500, 2619
2026-01-27_14:46:44.202,0, 51, 0, 2502, 95830, 95.80, 54, 1500, 2619
2026-01-27_14:46:44.202,1, 0, 0, 88, 95830, 87.46, 45, 1500, 2619
2026-01-27_14:46:45.275,0, 93, 0, 2504, 95830, 104.83, 55, 1500, 2619
2026-01-27_14:46:45.275,1, 0, 0, 88, 95830, 87.40, 45, 1500, 2619
2026-01-27_14:46:46.339,0, 92, 0, 2504, 95830, 106.77, 55, 1500, 2619
2026-01-27_14:46:46.339,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:46:47.405,0, 91, 0, 2504, 95830, 106.56, 55, 1500, 2619
2026-01-27_14:46:47.405,1, 0, 0, 88, 95830, 87.37, 45, 1500, 2619
2026-01-27_14:46:48.472,0, 93, 0, 2504, 95830, 106.84, 55, 1500, 2619
2026-01-27_14:46:48.472,1, 0, 0, 88, 95830, 87.34, 46, 1500, 2619
2026-01-27_14:46:49.538,0, 91, 0, 2504, 95830, 107.19, 55, 1500, 2619
2026-01-27_14:46:49.538,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:46:50.608,0, 0, 0, 2500, 95830, 94.92, 55, 1500, 2619
2026-01-27_14:46:50.608,1, 0, 0, 88, 95830, 87.40, 45, 1500, 2619
2026-01-27_14:46:51.691,0, 90, 0, 2504, 95830, 105.48, 55, 1500, 2619
2026-01-27_14:46:51.691,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:46:52.759,0, 91, 0, 2504, 95830, 107.04, 55, 1500, 2619
2026-01-27_14:46:52.759,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:46:53.825,0, 93, 0, 2504, 95830, 106.92, 55, 1500, 2619
2026-01-27_14:46:53.825,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:46:54.890,0, 94, 0, 2504, 95830, 106.77, 55, 1500, 2619
2026-01-27_14:46:54.890,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:46:55.957,0, 93, 0, 2504, 95830, 107.19, 55, 1500, 2619
2026-01-27_14:46:55.957,1, 0, 0, 88, 95830, 87.39, 45, 1500, 2619
2026-01-27_14:46:57.023,0, 0, 0, 2500, 95830, 94.18, 55, 1500, 2619
2026-01-27_14:46:57.023,1, 0, 0, 88, 95830, 87.47, 45, 1500, 2619
2026-01-27_14:46:58.103,0, 94, 0, 2504, 95830, 106.82, 55, 1500, 2619
2026-01-27_14:46:58.103,1, 0, 0, 88, 95830, 87.38, 45, 1500, 2619
2026-01-27_14:46:59.170,0, 92, 0, 2504, 95830, 106.70, 55, 1500, 2619
2026-01-27_14:46:59.170,1, 0, 0, 88, 95830, 87.39, 45, 1500, 2619
2026-01-27_14:47:00.237,0, 91, 0, 2504, 95830, 107.22, 55, 1500, 2619
2026-01-27_14:47:00.237,1, 0, 0, 88, 95830, 87.39, 45, 1500, 2619
2026-01-27_14:47:01.304,0, 93, 0, 2504, 95830, 106.95, 55, 1500, 2619
2026-01-27_14:47:01.304,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:47:02.372,0, 95, 0, 2504, 95830, 107.36, 55, 1500, 2619
2026-01-27_14:47:02.372,1, 0, 0, 88, 95830, 87.38, 45, 1500, 2619
2026-01-27_14:47:03.439,0, 44, 0, 2504, 95830, 92.54, 55, 1500, 2619
2026-01-27_14:47:03.439,1, 0, 0, 88, 95830, 87.43, 45, 1500, 2619
